docid,left_context,keyword,right_context
1.6.1- side 18,et særdeles got stykke,jord,som hans fællesbrødre ikke
1.6.1- side 20,mark foretager en byes,jord,efter den anden fremkalder
1.6.1- side 21,meget muelig lige god,jord,hvorefter gierdets sted bør
1.6.1- side 21,der ikke faae god,jord,igien eller ved det
1.6.1- side 21,gierdet gaaer over deres,jord,erstattes dem af samtlige
1.6.1- side 21,have indhegnet deres beqvemmeste,jord,og derover allerede faaet
1.6.1- side 24,og tilmaales hver sin,jord,samlet paa eet to
1.6.1- side 25,den inddeler al byens,jord,i fem eller sex
1.6.1- side 25,og antegner hvor megen,jord,hver mand i byen
1.6.1- side 26,ager og faaer udreven,jord,igien tillegges visse læs
1.6.1- side 26,den som faaer giødet,jord,for udreven den der
1.6.1- side 26,1 legges den nærmeste,jord,ved byen og i
1.6.1- side 26,har faaet kiendelig bedre,jord,end andre faaer i
1.6.1- side 27,at herefter hvor eens,jord,ligger ved et andet
1.6.1- side 27,gierde saa langt hans,jord,strekker saa skal det
1.6.1- side 27,enten den hele byes,jord,om han er eene
1.6.1- side 27,eene ejere eller den,jord,som tilmaales hans bønder
1.6.1- side 29,imellem en mands tilmaalte,jord,tildeles hannem og fraregnes
1.6.1- side 30,det første aar den,jord,som da er fælled
1.6.1- side 30,følgende aaringer den øvrige,jord,som hvert aar bliver
1.6.1- side 30,det meste af deres,jord,samlet paa eet sted
1.6.1- side 31,huusmand tildeles et stykke,jord,i udkant hvor han
1.6.1- side 51,flye karlen den beste,jord,rigelig giødning og det
1.6.2- side 14,14 trikulerede,jord,til herregaardene derimod støder
1.6.2- side 67,tilforladelig sandhed at en,jord,saasnart den bærer lyng
1.6.2- side 67,maver at en maver,jord,intet giver af sig
1.6.3- side 49,ville drive al sin,jord,paa ganske tilforn i
1.6.4- side 21,høe korn i straaet,jord,sand skuer saier leer
1.6.5- side 28,hvordan da igel den,jord,herren tog fra alle
1.6.5- side 28,af denne dem fratagne,jord,trekholt hvad da igel
1.6.8- side 37,og vandtuder overklædte med,jord,naar vandet ey af
1.6.8- side 38,grobene hvoraf det opkastede,jord,gruus og sand udjevnes
1.6.9- side 9,almindelighed tillige al den,jord,som bønderne boe paa
1.6.9- side 10,der var overflødigt udyrket,jord,da de som indtog
1.6.9- side 10,ville antage denne strækning,jord,bygget dem huse givet
1.6.9- side 10,ved at dyrke den,jord,som eyeren af hele
1.6.9- side 12,har betalt al den,jord,som bønderne indehave at
1.6.9- side 12,og den dertil henlagte,jord,loven veed og af
1.6.9- side 14,hans til bønderne uddeelte,jord,ved deres dyrkning indbringer
1.6.9- side 14,deres dyrkning indbringer denne,jord,bliver ved beboernes dyrkelse
1.6.9- side 15,samt redskaber til sin,jord,og huusholdning maae og
1.6.9- side 15,for det som hans,jord,maatte indbringe ham anseeligst
1.6.9- side 15,almindelighed dyrekiøbte eller forhvervede,jord,bort til een ham
1.6.9- side 16,eller en fods breed,jord,i steden for at
1.6.9- side 16,bondegaard og saa meget,jord,dertil at han naar
1.6.9- side 21,dem med hans eyendoms,jord,som de bruge saa
1.6.9- side 23,forsikring at den forbedrede,jord,ikke skal matriculeres høyere
1.6.9- side 38,sin ham allene tilhørende,jord,i fæste saalænge de
1.6.9- side 44,da der i ringe,jord,saaes mindre korn og
1.6.9- side 44,og skal pløyes desmere,jord,til en skieppe ligesom
1.6.9- side 53,lade meget af deres,jord,ligge udyrket og forbedringer
1.6.9- side 54,baade nytte af bøndernes,jord,om han selv drev
1.6.9- side 61,hart-korn som agerbond eller,jord,og hvad regel kan
1.6.9- side 70,til hans gaard hørende,jord,indhegnet for sig selv
1.6.9- side 71,ven komme hvor meget,jord,bliver spildt ved grøfterne
1.6.9- side 75,findes hvad enten deres,jord,støder lige til aaen
1.6.10- side 11,besidderen af den manglende,jord,aldrig kunne undskylde sig
1.6.10- side 11,af den frugtbare hvis,jord,i denne tilfælde ikke
1.6.10- side 14,har en lige god,jord,med sine naboer kan
1.6.10- side 27,landeveyene derved spartes megen,jord,som ellers gik bort
1.6.10- side 28,den gode og fede,jord,maatte forpligtes til i
1.6.11- side 8,af den grund og,jord,i have jeg er
1.6.11- side 11,fik al den gode,jord,ved byen og andre
1.6.11- side 11,havde hvad den gode,jord,angaaer ved byen ifald
1.6.11- side 12,heder at den slette,jord,er og det er
1.6.11- side 15,i fælledskabet naar saadan,jord,bliver pløiet vaad binder
1.6.11- side 23,need i den sorte,jord,ja vent oprykket med
1.6.11- side 24,dyrker alt for megen,jord,da det er med
1.6.11- side 25,man regne at hans,jord,ikke faaer giødning uden
1.6.11- side 27,blande frøet iblant fiin,jord,
1.6.11- side 31,fordeelagtig at have sin,jord,samlet paa et sted
1.6.12- side 21,fattigere arbeide de riges,jord,hvor meget er nu
1.6.12- side 29,bruger mere af sin,jord,end han behøver til
