word,count
klæder,42
jordegods,41
regne,41
fortiene,41
o,41
byen,41
misbrug,41
natur,41
optrin,41
flid,41
loven,41
efterdi,41
halve,41
gik,41
24,41
lærer,41
lettelig,41
regning,41
haves,40
forskiellige,40
undersaatter,40
17,40
ophævelse,40
nøye,40
derfra,40
lykke,40
meener,40
huusholding,40
tiende,40
hvori,40
legge,40
fri,40
gavn,40
avling,40
bestaaer,40
hierte,40
fornuftig,40
ven,40
mon,40
rigtig,40
vinde,40
lære,40
forordning,40
vahre,39
mk,39
fare,39
angaaer,39
lide,39
lands,39
anseelig,39
daglig,39
haand,39
dyr,39
salpeter,39
slette,39
præsten,39
menneskelige,38
18,38
ligesaavel,38
regent,38
forskiel,38
arbeidet,38
maal,38
forbunden,38
soldat,38
dyrke,38
danmark,38
tabe,38
længere,37
stykke,37
kiøbt,37
yderste,37
fandt,37
bud,37
forstaae,37
tvertimod,37
lyksalighed,37
norske,37
gav,37
forstand,37
kone,37
hovning,37
rettighed,37
eeneste,37
sagen,37
28,37
betales,37
exempler,36
hidindtil,36
holdt,36
aarsagen,36
regiering,36
taale,36
21,36
noksom,36
part,36
heel,36
proprietairerne,36
angaaende,36
sat,36
blevne,36
raad,36
plan,36
værende,36
imidlertid,36
jorder,36
hvorfra,36
svares,36
tilstrækkelig,35
afgifter,35
poster,35
mest,35
huse,35
personer,35
haanden,35
tilligemed,35
rug,35
eftertanke,35
19,35
bæster,35
forsøg,35
34,35
skiønt,35
post,35
22,35
vedkommende,35
sees,35
træer,35
leilighed,35
e,35
sex,35
handelen,35
ilde,35
straf,35
underholdning,35
hertil,35
nød,35
godser,35
betydelig,35
byens,34
mandskab,34
søn,34
25,34
mangler,34
gaards,34
betragtning,34
familie,34
begreb,34
huusholdning,34
stat,34
heraf,34
fremdeles,34
anførte,34
tilladt,34
indbyggere,34
vanskeligheder,34
eengang,34
sette,34
mangen,34
herom,34
frygt,34
forretninger,33
planter,33
sølv,33
hvorvidt,33
afskaffelse,33
vedligeholdelse,33
satte,33
vinteren,33
rede,33
landgilde,33
landvæsenet,33
behøve,33
høye,33
lidt,33
gjøre,33
bygning,33
hvorefter,33
aleene,33
herren,33
tydelig,33
eiendom,33
landvæsenets,33
blot,33
smør,33
muelige,33
antage,33
tiener,33
smaa,33
nødig,33
haab,33
adelskiold,33
à,32
lovens,32
enkelte,32
græs,32
huusmænd,32
redskaber,32
daatter,32
sammes,32
hovningen,32
31,32
grunden,32
forandringer,32
beviser,32
hosbonde,32
alleneste,32
svarer,32
høyeste,32
sammen,32
folkemængdens,32
23,32
grad,32
bekostninger,32
anderledes,32
spørge,32
29,32
stude,32
miste,32
byrder,32
begynder,32
32,32
hvorfore,32
26,32
fulde,31
aarlige,31
atter,31
viist,31
indkomster,31
tilstaaer,31
art,31
hvormed,31
umueligt,31
vidste,31
beqvem,31
skeet,31
pengene,31
tings,31
møde,31
kraft,31
styrke,31
hosbondens,31
tdr,31
alder,31
almuen,31
ærlig,30
fyrsten,30
skaffe,30
proprietairens,30
gaarder,30
foraarsager,30
38,30
sættes,30
forvalter,30
samle,30
bestemmes,30
v,30
undersøge,30
overskud,30
tvang,30
skrift,30
omtrent,30
ringere,30
tienere,30
hvile,30
drives,30
indseer,30
kiere,30
bragt,30
ønsker,30
mener,29
sviin,29
skifter,29
besætning,29
jylland,29
naturens,29
hvordan,29
betydelige,29
saalænge,29
førsten,29
tient,29
lemmer,29
fattigdom,29
begynde,29
formuende,29
skrifter,29
bestemmelse,29
herremanden,29
forestille,29
d,29
faar,29
dømme,29
indsee,29
iblandt,29
tienden,29
kongelig,29
f,29
steen,29
bønders,29
landmand,29
spørsmaal,29
fordeele,29
skilling,29
regieringens,29
bevise,29
skov,29
tildeels,29
karle,29
øyne,28
60,28
forbedre,28
vogne,28
slig,28
hastig,28
bondegaard,28
mindst,28
kierlighed,28
27,28
sikker,28
brev,28
omsider,28
recensenten,28
folkemængden,28
venner,28
lært,28
patriot,28
værd,28
veyen,28
evne,28
viser,28
omendskiønt,28
naturen,28
m,28
indvaanere,28
s,28
menneskene,28
mrk,28
indbyrdes,28
død,28
umuelig,28
umage,28
vei,28
sædvanlige,27
pligter,27
ti,27
nærmere,27
befindes,27
33,27
arbeydet,27
desto,27
sider,27
frugt,27
taget,27
forklaring,27
vederlag,27
deele,27
hovedgaardens,27
tilhørende,27
lettere,27
andens,27
forskaffe,27
foreslagne,27
øine,27
qvæg,27
øl,27
arme,27
tænkemaade,27
kaldes,27
35,27
brugte,27
anstalter,26
lykkelig,26
sand,26
kundet,26
vished,26
vedligeholde,26
skribentere,26
folkemængde,26
renter,26
fornøyelse,26
nærings,26
bestemme,26
indrettet,26
særdeleshed,26
landmænd,26
mellem,26
opsyn,26
sielden,26
pligtig,26
iligemaade,26
borte,26
nogenledes,26
forfatterens,26
37,26
ondt,26
hvorudi,26
pligt,26
koster,26
folket,26
tilsammen,26
borgere,26
fast,26
ernære,26
ingenlunde,26
skriver,26
bestemt,26
else,26
driver,25
fattig,25
græsning,25
ost,25
48,25
bondestandens,25
egenskaber,25
nogensinde,25
soldater,25
vand,25
legemer,25
altsammen,25
eet,25
alligevel,25
trykt,25
taber,25
eier,25
samlede,25
forsynet,25
stræbe,25
nøie,25
kommen,25
brugt,25
lever,25
vigtig,25
præst,25
anføre,25
levende,25
blant,25
hiem,25
herudi,25
bestemte,25
tienlig,25
ny,25
egentlig,25
høie,25
skifte,25
fyrste,25
kiøber,25
stykker,25
menneskes,25
byg,25
amtmanden,25
gaardens,25
meste,25
fører,25
holland,25
trende,25
snarere,25
hvorom,25
forvalteren,25
virkelige,25
allernaadigste,24
kommet,24
stedet,24
naboer,24
plantes,24
herregaarde,24
feil,24
allevegne,24
patriotiske,24
prøve,24
indhold,24
undersøgning,24
36,24
unyttige,24
heder,24
andeel,24
omgang,24
commissionen,24
tienestefolk,24
pro,24
ulige,24
anvendes,24
tanke,24
39,24
overflødighed,24
armod,24
herregaardene,24
hindrer,24
ulykke,24
heri,24
herrer,24
no,24
videnskab,24
høyt,24
lys,24
herefter,24
n,24
herskab,24
behøvede,24
raadvild,24
udføres,24
gielder,24
indrette,24
bekiendte,23
told,23
oeconomie,23
elendighed,23
skrevet,23
europa,23
passer,23
anseelse,23
beregning,23
tilsidst,23
drage,23
familier,23
42,23
efterat,23
grændser,23
bondes,23
baronen,23
herpaa,23
td,23
sætter,23
kalder,23
opmuntre,23
foretage,23
sygdom,23
slaver,23
voxer,23
skove,23
forlade,23
tillader,23
opsigt,23
udenrigske,23
talt,23
lagt,23
hiemme,23
vindskibelighed,23
ney,23
ruin,23
heelt,23
hidtil,23
paastaae,23
viise,23
foraarsage,23
